Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other,Instructor_raw_from_website,Instructor_pronouns
CSS101,DIGITAL THINKING,CSS,2017,WIN,no_restriction,no_add_code,22022,A,5,-,TTh,845-1045,UW1,220,"Kim, Jeffrey Y.",Closed,15,15,-,-,J,"Kim, Jeffrey Y.",not listed
CSS107,PROG-ANIMATED STORY ,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,TTh,115-315,UW1,041,"Gunnerson, Kim N.",Closed,48,48,-,$9,-,"Gunnerson, Kim N.",not listed
CSS107,PROG-ANIMATED STORY ,CSS,2017,WIN,no_restriction,no_add_code,13249,B,5,-,MW,1100-100,UW1,031,"Nash, Rob D",Closed,35,40,-,$9,-,"Nash, Rob D",not listed
CSS161,FUND OF COMPUTING,CSS,2017,WIN,-,-,13250,A,5,-,MW,1100-100,DISC,252,"Lin, Johnny W",Open,41,45,-,-,-,"Lin, Johnny W",not listed
CSS161,FUND OF COMPUTING,CSS,2017,WIN,no_restriction,no_add_code,13251,B,5,-,MW,115-315,UW2,131,"Nash, Rob D",Open,41,45,-,-,-,"Nash, Rob D",not listed
CSS161,FUND OF COMPUTING,CSS,2017,WIN,no_restriction,no_add_code,13252,C,5,-,MW,845-1045,UWBB,230,"Ong, Hansel",Open,41,45,-,-,-,"Ong, Hansel",not listed
CSS162,PROG METHODOLOGY,CSS,2017,WIN,no_restriction,no_add_code,13253,A,5,-,TTh,115-315,UW2,031,"Lin, Johnny W",Closed,45,45,-,-,-,"Lin, Johnny W",not listed
CSS162,PROG METHODOLOGY,CSS,2017,WIN,no_restriction,no_add_code,13254,B,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '221', in original. Note: couldn't interpret 'NASH,ROB', in original. Note: couldn't interpret 'D', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '24', in original. Note: couldn't interpret '45', in original.",-,not listed
CSS198,SUPERVISED STUDY,CSS,2017,WIN,IS,add_code_required,13255,A,1-5,-,-,to_be_arranged,-,0,-,-,40,-,-,-,-,-,not listed
CSS198,SUPERVISED STUDY,CSS,2017,WIN,IS,add_code_required,13256,B,1-5,-,-,to_be_arranged,-,0,-,-,40,-,CR_NC,-,-,-,not listed
CSS199,COMPUTING RESEARCH,CSS,2017,WIN,IS,add_code_required,13257,A,1-5,-,-,to_be_arranged,-,0,-,-,40,-,-,-,-,-,not listed
CSS199,COMPUTING RESEARCH,CSS,2017,WIN,IS,add_code_required,13258,B,1-5,-,-,to_be_arranged,-,1,-,-,40,-,CR_NC,-,-,-,not listed
CSS205,WOMEN STEM: COLLEGE ,CSS,2017,WIN,no_restriction,no_add_code,13259,A,1,-,M,330-420,UW1,041,"Kool, Nancy L",Open,14,15,CR_NC,-,J,"Kool, Nancy L",not listed
CSS211,COMPUTERS & SOCIETY ,CSS,2017,WIN,no_restriction,no_add_code,13260,A,5,-,MW,330-530,UW1,261,"Anderson, Laurie Joy",Open,24,30,-,$6,-,"Anderson, Laurie Joy",not listed
CSS295,K12 COMPUTING EDU,CSS,2017,WIN,-,-,13261,A,2,-,T,330-530,DISC,165B,"Retik, Arieh A",Open,11,15,CR_NC,-,S,"Retik, Arieh A",not listed
CSS301,TECHNICAL WRITING,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,115-315,UW2,005,"Kool, Nancy L",Open,28,30,-,$6,W,"Kool, Nancy L",not listed
CSS301,TECHNICAL WRITING,CSS,2017,WIN,Restr,no_add_code,-,B,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '060', in original. Note: couldn't interpret 'KOOL,NANCY', in original. Note: couldn't interpret 'L', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '30', in original. Note: couldn't interpret '30', in original. Note: couldn't interpret '$6', in original. Note: couldn't interpret 'W', in original.",-,not listed
CSS301,TECHNICAL WRITING,CSS,2017,WIN,Restr,no_add_code,-,C,5,-,MW,845-1045,UW2,240,"Anderson, Laurie Joy",Closed,30,30,-,$6,W,"Anderson, Laurie Joy",not listed
CSS332,PROG W/OO LANGS,CSS,2017,WIN,Restr,no_add_code,-,A,2,-,F,115-515,UW1,020,"Stiber, Michael D",Open,20,45,CR_NC,-,-,"Stiber, Michael D",not listed
CSS337,SECURE SYSTEMS,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '031', in original. Note: couldn't interpret 'LEBLANC,DAVID', in original. Note: couldn't interpret 'C.', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$18', in original.",-,not listed
CSS342,"DATA, ALG, MATH I",CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,330-530,UW2,240,"Olson, Clark F",Open,44,45,-,$13,-,"Olson, Clark F",not listed
CSS342,"DATA, ALG, MATH I",CSS,2017,WIN,Restr,-,-,B,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"DISC Note: couldn't interpret '162', in original. Note: couldn't interpret 'OLSON,CLARK', in original. Note: couldn't interpret 'F', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '34', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$13', in original.",-,not listed
CSS343,"DATA, ALG, MATH II",CSS,2017,WIN,Restr,-,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"DISC Note: couldn't interpret '252', in original. Note: couldn't interpret 'STIBER,MICHAEL', in original. Note: couldn't interpret 'D', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '26', in original. Note: couldn't interpret '48', in original. Note: couldn't interpret '$13', in original.",-,not listed
CSS343,"DATA, ALG, MATH II",CSS,2017,WIN,Restr,no_add_code,-,B,5,-,TTh,330-535,UW2,141,"Parsons, Erika F.",Open,29,48,-,$13,-,"Parsons, Erika F.",not listed
CSS343,"DATA, ALG, MATH II",CSS,2017,WIN,Restr,no_add_code,-,C,5,-,MW,330-530,UW1,220,"Chen, Min",Closed,48,48,-,$13,-,"Chen, Min",not listed
CSS350,MGT PRINCIPLES,CSS,2017,WIN,Restr,-,-,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"DISC Note: couldn't interpret '252', in original. Note: couldn't interpret 'KIM,JEFFREY', in original. Note: couldn't interpret 'Y.', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '35', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret '$9', in original.",-,not listed
CSS350,MGT PRINCIPLES,CSS,2017,WIN,Restr,no_add_code,-,B,5,-,TTh,1100-100,UW1,221,"Zetlen, Bryan A",Open,39,40,-,$9,-,"Zetlen, Bryan A",not listed
CSS350,MGT PRINCIPLES,CSS,2017,WIN,Restr,no_add_code,-,C,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '340', in original. Note: couldn't interpret 'ZETLEN,BRYAN', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '38', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret '$9', in original.",-,not listed
CSS360,SOFTWARE ENGR,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '041', in original. Note: couldn't interpret 'RETIK,ARIEH', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '50', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$9', in original.",-,not listed
CSS360,SOFTWARE ENGR,CSS,2017,WIN,Restr,no_add_code,-,B,5,-,TTh,330-530,UW1,041,"Kim, Jeffrey Y.",Open,40,45,-,$9,-,"Kim, Jeffrey Y.",not listed
CSS370,ANALYSIS AND DESIGN ,CSS,2017,WIN,Restr,-,-,A,5,-,MW,330-530,UW2,141,"Dupuis, Marc J",Open,24,48,-,$9,-,"Dupuis, Marc J",not listed
CSS370,ANALYSIS AND DESIGN ,CSS,2017,WIN,Restr,no_add_code,-,B,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '040', in original. Note: couldn't interpret 'RAZMOV,VALENTIN', in original. Note: couldn't interpret 'N.', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '29', in original. Note: couldn't interpret '30', in original. Note: couldn't interpret '$9', in original.",-,not listed
CSS370,ANALYSIS AND DESIGN ,CSS,2017,WIN,Restr,-,-,C,5,-,MW,115-315,DISC,061,"Zetlen, Bryan A",Open,39,48,-,$9,-,"Zetlen, Bryan A",not listed
CSS371,BUSINESS OF TECH,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '131', in original. Note: couldn't interpret 'HAMILTON,NICOLE', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '22', in original. Note: couldn't interpret '24', in original. Note: couldn't interpret '$6', in original. Note: couldn't interpret 'J', in original.",-,not listed
CSS405,WOMEN STEM: CAREER,CSS,2017,WIN,no_restriction,no_add_code,13282,A,1,-,M,330-420,UW1,041,"Kool, Nancy L",Open,5,15,CR_NC,-,J,"Kool, Nancy L",not listed
CSS421,CMPT HW & O/S,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,TTh,330-530,UWBB,107G,"Anderson, Laurie Joy",Open,16,20,-,$6,-,"Anderson, Laurie Joy",not listed
CSS422,HARDWARE & COMP ORG ,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,TTh,-,330-530P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '221', in original. Note: couldn't interpret 'PENG,YANG', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '42', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$13', in original.",-,not listed
CSS427,EMBEDDED SYSTEMS,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UWBB Note: couldn't interpret '260', in original. Note: couldn't interpret 'FOLSOM,TYLER', in original. Note: couldn't interpret 'C.', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '15', in original. Note: couldn't interpret '24', in original. Note: couldn't interpret '$47', in original.",-,not listed
CSS427,EMBEDDED SYSTEMS,CSS,2017,WIN,Restr,no_add_code,-,AA,-,LB,F,230-530,UW1,321,"Folsom, Tyler C.",Open,15,24,-,-,-,"Folsom, Tyler C.",not listed
CSS430,OPERATING SYSTEMS,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,330-530,UW1,051,"Dimpsey, Robert T",Open,44,45,-,$13,-,"Dimpsey, Robert T",not listed
CSS432,COMPUTER NETWORKING ,CSS,2017,WIN,Restr,-,-,A,5,-,MW,-,800-1000P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '020', in original. Note: couldn't interpret 'ARAVAZHI', in original. Note: couldn't interpret 'IRISSAPPANE,ATHI', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '42', in original. Note: couldn't interpret '48', in original. Note: couldn't interpret '$18', in original.",-,not listed
CSS451,3-D COMPUTER GRAPHIC,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,TTh,330-530,UWBB,230,"Kalmin, Lesley R",Open,12,45,-,$9,-,"Kalmin, Lesley R",not listed
CSS475,DATABASE SYSTEMS,CSS,2017,WIN,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '005', in original. Note: couldn't interpret 'CHEN,MIN', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '47', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$13', in original.",-,not listed
CSS490,SPECIAL TOPICS,CSS,2017,WIN,Restr,no_add_code,-,B,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '210', in original. Note: couldn't interpret 'DIMPSEY,ROBERT', in original. Note: couldn't interpret 'T', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '28', in original. Note: couldn't interpret '30', in original.",-,not listed
CSS490,SPECIAL TOPICS,CSS,2017,WIN,Restr,no_add_code,-,D,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '211', in original. Note: couldn't interpret 'SUNG,KELVIN', in original. Note: couldn't interpret 'H.', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '22', in original. Note: couldn't interpret '30', in original.",-,not listed
CSS490,SPECIAL TOPICS,CSS,2017,WIN,Restr,no_add_code,-,E,3,-,F,830-1120,UW1,220,"Erdly, William W",Open,7,12,-,-,J,"Erdly, William W",not listed
CSS497,CS & SE CAPSTONE,CSS,2017,WIN,IS,add_code_required,13296,A,-,-,-,1-10,-,-,-,-,-,-,-,-,"to_be_arranged Note: couldn't interpret '8', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret 'R', in original.",-,not listed
CSS497,CS & SE CAPSTONE,CSS,2017,WIN,IS,add_code_required,13297,B,-,-,-,1-10,-,-,-,-,-,-,-,-,"to_be_arranged Note: couldn't interpret '52', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret 'CR_NC', in original. Note: couldn't interpret 'R', in original.",-,not listed
CSS498,INDEPENDENT STUDY,CSS,2017,WIN,IS,add_code_required,13298,A,1-5,-,-,to_be_arranged,-,9,-,-,40,-,-,-,-,-,not listed
CSS498,INDEPENDENT STUDY,CSS,2017,WIN,IS,add_code_required,13299,B,1-5,-,-,to_be_arranged,-,10,-,-,40,-,CR_NC,-,-,-,not listed
CSS499,UNDERGRAD RESEARCH,CSS,2017,WIN,IS,add_code_required,13300,A,1-5,-,-,to_be_arranged,-,2,-,-,40,-,-,-,-,-,not listed
CSS499,UNDERGRAD RESEARCH,CSS,2017,WIN,IS,-,22662,B,1-5,-,-,to_be_arranged,*,*,-,-,-,-,-,-," Note: couldn't interpret '*', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '2', in original. Note: couldn't interpret '10', in original. Note: couldn't interpret 'CR_NC', in original.",-,not listed
CSS581,MACHINE LEARNING,CSS,2017,WIN,-,add_code_required,22291,B,5,-,MW,-,800-1000P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '305', in original. Note: couldn't interpret 'SI,DONG', in original. Note: couldn't interpret '5', in original. Note: couldn't interpret '5', in original. Note: couldn't interpret 'J', in original.",-,not listed
CSS101,DIGITAL THINKING,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,TTh,845-1045,UW1,120,"Kim, Jeffrey Y.",Open,14,16,-,-,J,"Kim, Jeffrey Y.",not listed
CSS107,PROG-ANIMATED STORY ,CSS,2019,SPR,no_restriction,no_add_code,20883,B,5,-,MW,1100-100,UW1,010,"Kalmin, Lesley R",Open,44,45,-,$10,-,"Kalmin, Lesley R",not listed
CSS142,CMPT PROG I,CSS,2019,SPR,no_restriction,no_add_code,20884,A,5,-,MW,1100-100,UW1,220,"Nash, Rob D",Open,40,45,-,-,-,"Nash, Rob D",not listed
CSS142,CMPT PROG I,CSS,2019,SPR,-,add_code_required,20885,B,5,-,MW,-,800-1000P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '210', in original. Note: couldn't interpret 'Ong,Hansel', in original. Note: couldn't interpret '32', in original. Note: couldn't interpret '45', in original.",-,not listed
CSS142,CMPT PROG I,CSS,2019,SPR,no_restriction,no_add_code,20886,C,5,-,MW,-,800-1000P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '102', in original. Note: couldn't interpret 'ASEEF,NILKUND', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '9', in original. Note: couldn't interpret '45', in original.",-,not listed
CSS142,CMPT PROG I,CSS,2019,SPR,no_restriction,no_add_code,20887,D,5,-,MW,845-1045,UW2,141,"Chini, Morteza",Closed,45,45,-,-,-,"Chini, Morteza",not listed
CSS143,CMPT PROG II,CSS,2019,SPR,no_restriction,no_add_code,20888,A,5,-,TTh,115-315,UW2,031,"Nash, Rob D",Closed,45,45,-,-,-,"Nash, Rob D",not listed
CSS143,CMPT PROG II,CSS,2019,SPR,no_restriction,no_add_code,20889,B,5,-,TTh,-,800-1000P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '030', in original. Note: couldn't interpret 'Krishnamaneni,Ravi', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '38', in original. Note: couldn't interpret '45', in original.",-,not listed
CSS198,SUPERVISED STUDY,CSS,2019,SPR,IS,add_code_required,12914,A,1-5,-,-,to_be_arranged,-,0,-,-,40,-,-,-,-,-,not listed
CSS198,SUPERVISED STUDY,CSS,2019,SPR,IS,add_code_required,12915,B,1-5,-,-,to_be_arranged,-,3,-,-,40,-,CR_NC,-,-,-,not listed
CSS198,SUPERVISED STUDY,CSS,2019,SPR,IS,-,12916,C,2,-,-,to_be_arranged,-,-,-,Open,0,-,-,-,30E,-,not listed
CSS199,COMPUTING RESEARCH,CSS,2019,SPR,IS,add_code_required,12917,A,1-5,-,-,to_be_arranged,-,0,-,-,40,-,-,-,-,-,not listed
CSS199,COMPUTING RESEARCH,CSS,2019,SPR,IS,add_code_required,12918,B,1-5,-,-,to_be_arranged,-,0,-,-,40,-,CR_NC,-,-,-,not listed
CSS225,PHYS/CHEM OF COMP,CSS,2019,SPR,no_restriction,no_add_code,20890,A,5,-,F,115-315,LBA,003,"Gunnerson, Kim N.",Open,26,30,-,-,-,"Gunnerson, Kim N.",not listed
CSS295,K12 COMPUTING EDU,CSS,2019,SPR,no_restriction,no_add_code,20891,A,2,-,Th,330-530,UW1,031,"Retik, Arieh A",Open,14,15,CR_NC,$10,-,"Retik, Arieh A",not listed
CSS301,TECHNICAL WRITING,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,MW,330-530,UW2,040,"Kool, Nancy L",Open,14,30,-,$10,W,"Kool, Nancy L",not listed
CSS301,TECHNICAL WRITING,CSS,2019,SPR,Restr,no_add_code,-,B,5,-,MW,115-315,UW2,205,"Anderson, Laurie Joy",Open,27,30,-,$10,W,"Anderson, Laurie Joy",not listed
CSS301,TECHNICAL WRITING,CSS,2019,SPR,Restr,no_add_code,-,C,5,-,TTh,1100-100,UW2,221,"Chini, Morteza",Open,29,30,-,$10,W,"Chini, Morteza",not listed
CSS340,APPL ALGORITHMICS,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,MW,845-1045,UW1,220,"Dimpsey, Robert T",Open,24,45,-,$23,-,"Dimpsey, Robert T",not listed
CSS342,"DATA, ALG, MATH I",CSS,2019,SPR,Restr,no_add_code,-,A,5,-,TTh,330-530,UWBB,205,"Si, Dong",Open,36,40,-,$23,-,"Si, Dong",not listed
CSS342,"DATA, ALG, MATH I",CSS,2019,SPR,Restr,no_add_code,-,B,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '021', in original. Note: couldn't interpret 'Zander,Carol', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '27', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret '$23', in original.",-,not listed
CSS343,"DATA, ALG, MATH II",CSS,2019,SPR,Restr,no_add_code,-,A,5,-,TTh,330-530,UW1,202,"Parsons, Erika F.",Open,25,45,-,$23,-,"Parsons, Erika F.",not listed
CSS343,"DATA, ALG, MATH II",CSS,2019,SPR,Restr,no_add_code,-,B,5,-,MW,-,800-1000P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '051', in original. Note: couldn't interpret 'Chen,Min', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '47', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$23', in original.",-,not listed
CSS350,MGT PRINCIPLES,CSS,2019,SPR,Restr,no_add_code,-,B,5,-,MW,330-530,UW1,221,"Kim, Jeffrey Y.",Open,41,45,-,$10,-,"Kim, Jeffrey Y.",not listed
CSS360,SOFTWARE ENGR,CSS,2019,SPR,-,add_code_required,12925,A,5,-,MW,1100-100,UW2,131,"Lund, Arnie",-,29,30,-,$10,-,"Lund, Arnie",not listed
CSS360,SOFTWARE ENGR,CSS,2019,SPR,-,add_code_required,20899,B,5,-,MW,845-1045,UW2,205,"Kalmin, Lesley R",-,28,30,-,$10,-,"Kalmin, Lesley R",not listed
CSS360,SOFTWARE ENGR,CSS,2019,SPR,-,add_code_required,20900,C,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '031', in original. Note: couldn't interpret 'Retik,Arieh', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '29', in original. Note: couldn't interpret '30', in original. Note: couldn't interpret '$10', in original.",-,not listed
CSS370,ANALYSIS AND DESIGN ,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,T,330-530,UW2,131,"Asuncion, Hazeline U",Closed,48,45,-,$10,-,"Asuncion, Hazeline U",not listed
CSS370,ANALYSIS AND DESIGN ,CSS,2019,SPR,Restr,no_add_code,-,B,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '221', in original. Note: couldn't interpret 'ASEEF,NILKUND', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '46', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$10', in original.",-,not listed
CSS371,BUSINESS OF TECH,CSS,2019,SPR,Restr,-,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"DISC Note: couldn't interpret '162', in original. Note: couldn't interpret 'Ervick,Michael', in original. Note: couldn't interpret 'Paul', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '16', in original. Note: couldn't interpret '18', in original. Note: couldn't interpret '$10', in original. Note: couldn't interpret 'J', in original.",-,not listed
CSS383,BIOINFORMATICS,CSS,2019,SPR,no_restriction,no_add_code,20902,A,5,-,MW,1100-100,UW2,105,"Zaneveld, Jesse R",Closed,14,10,-,$23,J,"Zaneveld, Jesse R",not listed
CSS385,INTRO TO GAME DEV,CSS,2019,SPR,Restr,-,-,A,5,-,TTh,330-530,DISC,061,"Pisan, Yusuf",Closed,46,45,-,$23,-,"Pisan, Yusuf",not listed
CSS390,SPECIAL TOPICS,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,F,845-1145,UW1,221,"Kool, Nancy L",Open,38,45,-,$10,-,"Kool, Nancy L",not listed
CSS397,COMPUTING INTERNSHIP,CSS,2019,SPR,IS,add_code_required,20922,A,1-5,-,-,to_be_arranged,-,8,-,-,-,-,-,-,"15E Note: couldn't interpret 'CR_NC', in original. Note: couldn't interpret '%', in original.",-,not listed
CSS411,CMPT & PUB POLICY,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '051', in original. Note: couldn't interpret 'Stanev,Roger', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '23', in original. Note: couldn't interpret '20', in original. Note: couldn't interpret '$10', in original. Note: couldn't interpret 'J', in original.",-,not listed
CSS415,TOPICS IN CYERSEC,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,MW,115-315,UW2,040,"Thamilarasu, Geetha",Open,15,30,-,$10,-,"Thamilarasu, Geetha",not listed
CSS422,HARDWARE & COMP ORG ,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,MW,115-315,UW1,221,"Awad, Ahmed",Open,41,45,-,$23,-,"Awad, Ahmed",not listed
CSS422,HARDWARE & COMP ORG ,CSS,2019,SPR,Restr,no_add_code,-,B,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '210', in original. Note: couldn't interpret 'Awad,Ahmed', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '35', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$23', in original.",-,not listed
CSS430,OPERATING SYSTEMS,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,TTh,845-1045,UW1,202,"Pisan, Yusuf",Open,42,45,-,$23,-,"Pisan, Yusuf",not listed
CSS430,OPERATING SYSTEMS,CSS,2019,SPR,Restr,no_add_code,-,B,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '220', in original. Note: couldn't interpret 'Hogg,Jim', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '46', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$23', in original.",-,not listed
CSS432,COMPUTER NETWORKING ,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,MW,115-315,UW2,031,"Dimpsey, Robert T",Open,42,45,-,$23,-,"Dimpsey, Robert T",not listed
CSS434,PARA DISTR COMPUTING,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,MW,330-530,UW1,220,"Fukuda, Munehiro",Open,39,45,-,$23,-,"Fukuda, Munehiro",not listed
CSS458,COMPUTER SIMULATION ,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,MW,1100-100,UW2,031,"Lin, Johnny W",Open,40,45,-,$23,-,"Lin, Johnny W",not listed
CSS461,SOFTWARE PROJ MGMT,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,MW,115-315,UW2,131,"Retik, Arieh A",Closed,48,45,-,$10,-,"Retik, Arieh A",not listed
CSS473,ENTREPRENEURSHP SEM ,CSS,2019,SPR,no_restriction,no_add_code,21111,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '005', in original. Note: couldn't interpret 'Ervick,Michael', in original. Note: couldn't interpret 'Paul', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '8', in original. Note: couldn't interpret '8', in original. Note: couldn't interpret '$6', in original. Note: couldn't interpret 'J', in original.",-,not listed
CSS475,DATABASE SYSTEMS,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '210', in original. Note: couldn't interpret 'Kochanski,Mark', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '47', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$23', in original.",-,not listed
CSS480,HUMAN-COMP INTERACT ,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,MW,115-315,UW1,110,"Lund, Arnie",Closed,45,45,-,$10,-,"Lund, Arnie",not listed
CSS490,SPECIAL TOPICS,CSS,2019,SPR,Restr,no_add_code,-,A,5,-,MW,-,800-1000P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '030', in original. Note: couldn't interpret 'Folsom,Tyler', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '14', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$10', in original.",-,not listed
CSS490,SPECIAL TOPICS,CSS,2019,SPR,Restr,no_add_code,-,C,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '221', in original. Note: couldn't interpret 'Parsons,Erika', in original. Note: couldn't interpret 'F.', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '27', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$10', in original.",-,not listed
CSS495,A CMPT INTERNSHIP,CSS,2019,SPR,IS,add_code_required,20915,A,1-5,-,-,to_be_arranged,-,3,-,-,10,-,CR_NC,-,-,-,not listed
CSS496,APPL CMPT CAPSTONE,CSS,2019,SPR,-,add_code_required,12939,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '228', in original. Note: couldn't interpret 'Anderson,Laurie', in original. Note: couldn't interpret '20', in original. Note: couldn't interpret '15', in original. Note: couldn't interpret 'CR_NC', in original. Note: couldn't interpret '$10', in original.",-,not listed
