Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BCHEM143,GEN CHEM I,BCHEM,2025,WIN,-,-,10870,A,4,-,MWF,1015-1135,DISC,061,"Lovitt, Charity",Open,185,192,-,-,-
BCHEM144,GEN CHEM LAB I,BCHEM,2025,WIN,no_restriction,no_add_code,10871,A,2,-,M,1200-300,CC1,340,"Shippy, Scott",Open,22,24,-,$50,-
BCHEM144,GEN CHEM LAB I,BCHEM,2025,WIN,no_restriction,no_add_code,10872,B,2,-,T,830-1130,CC1,340,"Thimmaiah, Murali",Open,22,24,-,$50,-
BCHEM144,GEN CHEM LAB I,BCHEM,2025,WIN,no_restriction,no_add_code,10873,C,2,-,T,115-415,CC1,340,"Storfer, Dinara",Closed,24,24,-,$50,-
BCHEM144,GEN CHEM LAB I,BCHEM,2025,WIN,no_restriction,no_add_code,10874,D,2,-,W,1200-300,CC1,340,"Linganathan, Porselvi",Open,23,24,-,$50,-
BCHEM144,GEN CHEM LAB I,BCHEM,2025,WIN,no_restriction,no_add_code,10875,E,2,-,Th,830-1130,CC1,340,"Linganathan, Porselvi",Open,22,24,-,$50,-
BCHEM144,GEN CHEM LAB I,BCHEM,2025,WIN,no_restriction,no_add_code,10876,F,2,-,Th,115-415,CC1,340,"Storfer, Dinara",Open,22,24,-,$50,-
BCHEM153,GEN CHEM II,BCHEM,2025,WIN,-,-,10877,A,4,-,MWF,845-1005,DISC,061,"Finley, Brandon D",Open,82,120,-,-,-
BCHEM154,GEN CHEM LAB II,BCHEM,2025,WIN,-,-,10878,A,2,-,M,1230-330,DISC,463,"Finley, Brandon D",Open,17,24,-,$50,-
BCHEM154,GEN CHEM LAB II,BCHEM,2025,WIN,-,-,10879,B,2,-,T,900-1200,DISC,463,"Mlodnosky, Karyn",Open,10,24,-,$50,-
BCHEM154,GEN CHEM LAB II,BCHEM,2025,WIN,-,-,10880,C,2,-,T,145-445,DISC,463,"Mlodnosky, Karyn",Open,21,24,-,$50,-
BCHEM154,GEN CHEM LAB II,BCHEM,2025,WIN,-,-,10881,D,2,-,W,1230-330,DISC,463,"Finley, Brandon D",Open,21,24,-,$50,-
