Class Number,Class,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other,Year,Quarter
BDATA200,INTRO DATA STUDIES,no_restriction,no_add_code,10938,A,5,-,W,115-315,UW1,120,"Novokhodko, Alexander",Closed,36,34,-,-,B,2025,WIN
BDATA200,INTRO DATA STUDIES,no_restriction,no_add_code,10939,B,5,-,T,1100-100,UW2,105,"Ferrare, Joseph",Closed,35,32,-,-,B,2025,WIN
