Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BST200,INTRO TO CLIMATE SCI,BST,2019,WIN,no_restriction,no_add_code,11833,A,5,-,F,1100-100,UWBB,205,"Salathe, Eric P",Closed,30,30,-,-,-
BST205,WOMEN IN STEM,BST,2019,WIN,no_restriction,no_add_code,21683,A,3,-,TTh,115-245,UW1,041,"Hill, Erin",Open,29,30,-,-,%
BST293,SPECIAL TOPICS,BST,2019,WIN,no_restriction,no_add_code,21684,A,5,-,TTh,845-1045,UW2,221,"Hill, Erin",Open,8,30,-,-,-
BST301,SCIENTIFIC WRITING,BST,2019,WIN,no_restriction,no_add_code,11834,A,5,-,TTh,845-1045,UW2,141,"Galindo, Heather M",Closed,24,24,-,-,W
BST498,IND STUDY SCI TECH,BST,2019,WIN,IS,-,11837,B,1-5,-,-,to_be_arranged,-,-,-,Open,0,10,CR_NC,-,-
BST498,IND STUDY SCI TECH,BST,2019,WIN,IS,-,11838,C,1-5,-,-,to_be_arranged,-,-,-,Open,1,30,-,-,-
BST499,UG RESEARCH SCI TECH,BST,2019,WIN,IS,-,11839,A,5,-,-,to_be_arranged,-,-,-,Open,0,30,-,-,-
BST499,UG RESEARCH SCI TECH,BST,2019,WIN,IS,-,11840,B,1-5,-,-,to_be_arranged,-,-,-,Open,0,10,CR_NC,-,-
BST499,UG RESEARCH SCI TECH,BST,2019,WIN,IS,-,11841,C,1-5,-,-,to_be_arranged,-,-,-,Open,0,10,-,-,-
