Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BST200,INTRO TO CLIMATE SCI,BST,2016,AUT,no_restriction,no_add_code,11885,A,5,-,TTh,845-1045,LBA,003,"Galindo, Heather Michelle",Open,29,30,-,-,-
BST498,IND STUDY SCI TECH,BST,2016,AUT,IS,-,11886,A,1-5,-,-,to_be_arranged,-,-,-,Open,0,5,-,-,-
BST498,IND STUDY SCI TECH,BST,2016,AUT,IS,-,11887,B,1-5,-,-,to_be_arranged,-,-,-,Open,0,5,CR_NC,-,-
BST498,IND STUDY SCI TECH,BST,2016,AUT,IS,add_code_required,11888,C,1-5,-,-,to_be_arranged,-,0,-,-,15,-,-,-,-
BST499,UG RESEARCH SCI TECH,BST,2016,AUT,IS,-,11889,A,1-5,-,-,to_be_arranged,-,-,-,Open,1,5,-,-,-
BST499,UG RESEARCH SCI TECH,BST,2016,AUT,IS,-,11890,B,1-5,-,-,to_be_arranged,-,-,-,Open,0,5,CR_NC,-,-
