Class Number,Class,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other,Year,Quarter
BEARTH155,INTRO TO CLIMATE SCI,no_restriction,no_add_code,21817,A,5,-,F,1100-100,UW1,031,"Salathe, Eric P",Open,23,30,-,-,-,2020,WIN
BEARTH318,HYDROGEOLOGY,-,-,11227,A,5,-,TTh,1100-100,DISC,369,"Turner, Rob",Open,22,24,-,$15,-,2020,WIN
BEARTH341,NATURAL HAZARDS,no_restriction,no_add_code,11228,A,5,-,TTh,330-530,UW2,305,"Redsteer, Margaret",Open,18,40,-,-,-,2020,WIN
