Class Number,Class,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other,Year,Quarter
BEARTH154,INTRO OCEANOGRAPHY,no_restriction,no_add_code,23164,A,5,-,MW,115-315,*,*,"Galindo, Heather M",Open,29,30,-,-,-,2020,AUT
BEARTH155,INTRO TO CLIMATE SCI,no_restriction,no_add_code,11326,A,5,-,MW,1100-100,*,*,"Salathe, Eric P",Closed,30,30,-,-,-,2020,AUT
BEARTH300,ENV SYSTEM THINKING ,no_restriction,no_add_code,11328,A,5,-,TTh,1100-100,*,*,"Turner, Rob",Open,14,30,-,-,%,2020,AUT
BEARTH321,GEOMORPHOLOGY,no_restriction,no_add_code,11331,A,5,-,MW,1100-100,*,*,"Shinneman, Avery",Open,19,24,-,-,-,2020,AUT
BEARTH341,NATURAL HAZARDS,no_restriction,no_add_code,11332,A,5,-,-,to_be_arranged,*,*,"Redsteer, Margaret",Open,34,45,-,-,-,2020,AUT
