Class Number,Class,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BEARTH153,INTRO GEOLOGY,no_restriction,no_add_code,20972,A,5,-,MW,115-315,DISC,369,"Shinneman, Avery",Closed,24,24,-,-,-
BEARTH154,INTRO OCEANOGRAPHY,no_restriction,no_add_code,11073,A,5,-,TTh,115-315,UW1,110,"Galindo, Heather M",Closed,30,30,-,-,-
BEARTH155,INTRO TO CLIMATE SCI,no_restriction,no_add_code,11074,A,5,-,TTh,1100-100,UW2,221,"Salathe, Eric P",Closed,30,30,-,-,-
