Class Number,Class,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BEARTH154,INTRO OCEANOGRAPHY,no_restriction,no_add_code,11268,A,5,-,TTh,845-1045,UW1,202,"Galindo, H",Open,45,48,-,-,-
BEARTH155,INTRO TO CLIMATE SCI,no_restriction,no_add_code,11269,A,5,-,TTh,115-315,UW1,050,"Fields, Tracy A",Open,47,48,-,-,-
BEARTH318,HYDROGEOLOGY,no_restriction,no_add_code,11270,A,5,-,TTh,330-530,DISC,369,"Turner, Rob",Open,19,24,-,$17,-
