Class Number,Class,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other,Year,Quarter
BEARTH153,INTRO GEOLOGY,-,-,11120,A,5,-,MW,1100-100,DISC,369,"Shinneman, Avery",Open,18,24,-,$5,-,2025,SPR
BEARTH154,INTRO OCEANOGRAPHY,no_restriction,no_add_code,11121,A,5,-,MW,1100-100,UW1,031,"Galindo, Heather M",Closed,30,30,-,-,-,2025,SPR
BEARTH155,INTRO TO CLIMATE SCI,no_restriction,no_add_code,11122,A,5,-,TTh,115-315,UW1,220,"Fields, Tracy A",Closed,47,47,-,-,-,2025,SPR
BEARTH310,WEATHER AND CLIMATE ,no_restriction,no_add_code,11123,A,5,-,MW,330-530,UW1,021,"Salathe, Eric P",Open,13,40,-,-,-,2025,SPR
BEARTH320,CLIMATE IMPACTS,-,-,11124,A,5,-,TTh,1100-100,DISC,369,"Turner, Rob",Closed,24,24,-,-,-,2025,SPR
