Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
CSS101,DIGITAL THINKING,CSS,2023,SPR,no_restriction,no_add_code,21299,A,5,-,MW,845-1045,UW2,031,"Stanev, Roger",Open,4,22,-,-,J
CSS107,PROG-ANIMATED STORY ,CSS,2023,SPR,no_restriction,no_add_code,13125,A,5,-,TTh,330-530,UW1,050,"Oliver, Dawn-Marie",Open,24,45,-,$10,-
CSS107,PROG-ANIMATED STORY ,CSS,2023,SPR,no_restriction,no_add_code,13126,B,5,-,MW,330-530,UW1,221,"Kalmin, Lesley",Open,41,45,-,$10,-
CSS112,INTRO PROG SCI APP,CSS,2023,SPR,no_restriction,no_add_code,13127,A,4,-,TTh,845-1045,UW2,240,"Gunnerson, Kim",Open,34,45,-,-,-
CSS123,PROG DATA SCI,CSS,2023,SPR,no_restriction,no_add_code,21304,A,3,-,TTh,1100-100,UW1,030,"Lin, Johnny",Open,3,45,-,-,-
CSS142,CMPT PROG I,CSS,2023,SPR,no_restriction,no_add_code,13128,A,5,-,MW,1100-100,UW1,110,"Kim, Jeffrey",Open,37,45,-,-,-
CSS142,CMPT PROG I,CSS,2023,SPR,no_restriction,no_add_code,13129,B,5,-,MW,115-315,UW2,141,"Ewing, Katie",Open,35,45,-,-,-
CSS142,CMPT PROG I,CSS,2023,SPR,no_restriction,no_add_code,13130,C,5,-,TTh,330-530,UW2,131,"Chini, Morteza",Open,39,45,-,-,-
CSS143,CMPT PROG II,CSS,2023,SPR,no_restriction,no_add_code,13131,A,5,-,TTh,330-530,UW2,141,"Nixon, David",Open,40,45,-,-,-
CSS143,CMPT PROG II,CSS,2023,SPR,no_restriction,no_add_code,13132,B,5,-,MW,115-315,UW2,031,"Du, Peng",Closed,47,45,-,-,-
CSS143,CMPT PROG II,CSS,2023,SPR,no_restriction,no_add_code,13133,C,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '240', in original. Note: couldn't interpret 'NIXON,DAVID', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '33', in original. Note: couldn't interpret '45', in original."
CSS198,SUPERVISED STUDY,CSS,2023,SPR,no_restriction,no_add_code,-,IS,-,-,-,-,-,21504,A,-,-,-,-,-,"1-5 Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '10', in original."
CSS198,SUPERVISED STUDY,CSS,2023,SPR,no_restriction,no_add_code,-,IS,-,-,-,-,-,21505,B,-,-,-,-,-,"1-5 Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '2', in original. Note: couldn't interpret '10', in original. Note: couldn't interpret 'CR_NC', in original."
CSS199,COMPUTING RESEARCH,CSS,2023,SPR,no_restriction,no_add_code,-,IS,-,-,-,-,-,21506,A,-,-,-,-,-,"1-5 Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '10', in original."
CSS199,COMPUTING RESEARCH,CSS,2023,SPR,no_restriction,no_add_code,-,IS,-,-,-,-,-,21507,B,-,-,-,-,-,"1-5 Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '10', in original. Note: couldn't interpret 'CR_NC', in original."
CSS211,COMPUTERS & SOCIETY ,CSS,2023,SPR,no_restriction,no_add_code,13134,A,5,-,MW,330-530,UW2,131,"Stanev, Roger",Open,42,45,-,$10,-
CSS295,K12 COMPUTING EDU,CSS,2023,SPR,no_restriction,no_add_code,13137,A,2,-,Th,330-530,UWBB,107G,"Kool, Nancy L.",Open,11,12,CR_NC,-,-
CSS301,TECHNICAL WRITING,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,TTh,330-530,UW1,020,"Anderson, Laurie",Open,26,28,-,$10,W
CSS301,TECHNICAL WRITING,CSS,2023,SPR,Restr,no_add_code,-,B,5,-,TTh,115-315,LBA,003,"Shaw, Carol A",Closed,30,30,-,$10,W
CSS301,TECHNICAL WRITING,CSS,2023,SPR,-,add_code_required,13140,C,5,-,MW,330-530,UW2,040,"Chini, Morteza",-,26,30,-,$10,W
CSS310,IA & CYBERSECURITY,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,MW,-,545-745P,*,-,-,-,-,-,-,"* Note: couldn't interpret 'Lidster,William', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '48', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$10', in original."
CSS310,IA & CYBERSECURITY,CSS,2023,SPR,Restr,no_add_code,-,B,5,-,TTh,330-530,*,*,"Kuzma, Bobby",Closed,47,45,-,$10,-
CSS342,"DATA, ALG, MATH I",CSS,2023,SPR,-,add_code_required,13145,A,5,-,TTh,330-530,UW1,110,"Pisan, Yusuf",-,32,38,-,$23,-
CSS342,"DATA, ALG, MATH I",CSS,2023,SPR,-,add_code_required,13146,B,5,-,TTh,1100-100,UWBB,205,"Mashhadi, Afra",-,21,38,-,$23,-
CSS342,"DATA, ALG, MATH I",CSS,2023,SPR,-,add_code_required,13147,C,5,-,MW,-,800-1000P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '202', in original. Note: couldn't interpret 'Ahmed,Faisal', in original. Note: couldn't interpret '17', in original. Note: couldn't interpret '38', in original. Note: couldn't interpret '$23', in original."
CSS343,"DATA, ALG, MATH II",CSS,2023,SPR,Restr,no_add_code,-,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '210', in original. Note: couldn't interpret 'Rahman,Muntasir', in original. Note: couldn't interpret 'Raihan', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '31', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$23', in original."
CSS343,"DATA, ALG, MATH II",CSS,2023,SPR,Restr,no_add_code,-,B,5,-,MW,1100-100,DISC,162,"Pisan, Yusuf",Open,55,60,-,$23,-
CSS350,MGT PRINCIPLES,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,MW,-,800-955P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '010', in original. Note: couldn't interpret 'Malhotra,Shiny', in original. Note: couldn't interpret 'S', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '23', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$10', in original."
CSS350,MGT PRINCIPLES,CSS,2023,SPR,Restr,no_add_code,-,B,5,-,MW,115-315,UW1,221,"Kim, Jeffrey",Open,43,45,-,$10,-
CSS360,SOFTWARE ENGR,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,TTh,1100-100,UW1,060,"Kim, Jeffrey",Open,28,30,-,$10,-
CSS360,SOFTWARE ENGR,CSS,2023,SPR,-,add_code_required,13153,B,5,-,MW,115-315,UW2,221,"Retik, Arkady",-,30,30,-,$10,-
CSS360,SOFTWARE ENGR,CSS,2023,SPR,Restr,no_add_code,-,C,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '060', in original. Note: couldn't interpret 'Retik,Arkady', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '29', in original. Note: couldn't interpret '30', in original. Note: couldn't interpret '$10', in original."
CSS370,ANALYSIS AND DESIGN ,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '210', in original. Note: couldn't interpret 'Hamdan,Osama', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '48', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$10', in original."
CSS370,ANALYSIS AND DESIGN ,CSS,2023,SPR,Restr,no_add_code,-,B,5,-,MW,115-315,UW2,131,"Chini, Morteza",Open,43,45,-,$10,-
CSS370,ANALYSIS AND DESIGN ,CSS,2023,SPR,Restr,no_add_code,-,C,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '221', in original. Note: couldn't interpret 'Dutta,Pampa', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '25', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$10', in original."
CSS371,BUSINESS OF TECH,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,MF,330-530,UW1,210,"Joshi, Sanjay",Closed,46,45,-,$6,-
CSS382,INTRO TO AI,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,TTh,845-1045,UW1,221,"Pisan, Yusuf",Open,41,45,-,-,-
CSS383,BIOINFORMATICS,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,TTh,115-315,*,*,"Zaneveld, Jesse",Closed,16,15,-,-,JO
CSS385,INTRO TO GAME DEV,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,MW,330-530,UW2,240,"Pisan, Yusuf",Open,43,45,-,$23,-
CSS390,SPECIAL TOPICS,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,F,845-1145,UW1,020,"Kool, Nancy L.",Open,10,45,-,$10,-
CSS390,SPECIAL TOPICS,CSS,2023,SPR,Restr,no_add_code,-,B,5,-,TTh,330-530,DISC,162,"Kochanski, Mark",Open,20,30,-,$10,B
CSS397,COMPUTING INTERNSHIP,CSS,2023,SPR,no_restriction,no_add_code,-,IS,-,-,-,-,-,21508,A,-,-,-,-,-,"1-5 Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '6', in original. Note: couldn't interpret '10', in original. Note: couldn't interpret 'CR_NC', in original."
CSS411,CMPT & PUB POLICY,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '340', in original. Note: couldn't interpret 'Stanev,Roger', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '29', in original. Note: couldn't interpret '20', in original. Note: couldn't interpret '$10', in original. Note: couldn't interpret 'J', in original."
CSS415,TOPICS IN CYERSEC,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '131', in original. Note: couldn't interpret 'Murphy,Sean', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '20', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$10', in original."
CSS421,CMPT HW & O/S,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '031', in original. Note: couldn't interpret 'Candelaria,Jared', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '10', in original. Note: couldn't interpret '45', in original."
CSS422,HARDWARE & COMP ORG ,CSS,2023,SPR,Restr,no_add_code,-,A,5,-,MW,115-315,UW1,102,"Kim, Wooyoung",Open,41,45,-,$23,-
