Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
CSS101,DIGITAL THINKING,CSS,2021,SPR,no_restriction,no_add_code,13055,A,5,-,TTh,845-1045,*,*,"Kim, Jeffrey",Open,11,16,-,-,J
CSS107,PROG-ANIMATED STORY ,CSS,2021,SPR,no_restriction,no_add_code,13056,A,5,-,TTh,115-315,*,*,"Gunnerson, K",Open,43,45,-,$10,-
CSS107,PROG-ANIMATED STORY ,CSS,2021,SPR,no_restriction,no_add_code,13057,B,5,-,MW,1100-100,*,*,"Kalmin, Lesley",Open,39,45,-,$10,-
CSS112,INTRO PROG SCI APP,CSS,2021,SPR,no_restriction,no_add_code,13058,A,4,-,TTh,1100-100,*,*,"Lin, Johnny",Open,33,45,-,-,%
CSS142,CMPT PROG I,CSS,2021,SPR,no_restriction,no_add_code,13059,A,5,-,TTh,1100-100,*,*,"Oliver, Dawn-Marie",Open,35,45,-,-,-
CSS142,CMPT PROG I,CSS,2021,SPR,no_restriction,no_add_code,13060,B,5,-,TTh,115-315,*,*,"Lin, Johnny",Open,38,45,-,-,-
CSS142,CMPT PROG I,CSS,2021,SPR,no_restriction,no_add_code,13061,C,5,-,MW,-,545-745P,*,-,-,-,-,-,-,"* Note: couldn't interpret 'Ong,Hansel', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '42', in original. Note: couldn't interpret '45', in original."
CSS143,CMPT PROG II,CSS,2021,SPR,no_restriction,no_add_code,13062,A,5,-,TTh,115-315,*,*,"Nixon, David",Open,30,45,-,-,-
CSS143,CMPT PROG II,CSS,2021,SPR,no_restriction,no_add_code,13063,B,5,-,MW,-,545-745P,*,-,-,-,-,-,-,"* Note: couldn't interpret 'Du,Peng', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '39', in original. Note: couldn't interpret '45', in original."
CSS143,CMPT PROG II,CSS,2021,SPR,no_restriction,no_add_code,21701,C,5,-,TTh,1100-100,*,*,"Nixon, David",Open,26,48,-,-,-
CSS198,SUPERVISED STUDY,CSS,2021,SPR,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '13064', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '40', in original."
