Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BIS111,DIGITAL THINKING,BIS,2022,SPR,Restr,no_add_code,-,A,5,-,F,115-315,UW2,305,"Kim, Jeffrey",Open,7,18,-,-,BJ
BIS115,DIGITAL CULTURES,BIS,2022,SPR,no_restriction,no_add_code,11668,A,5,-,Th,845-1045,UW2,141,"Cram, Shannon C",Closed,49,48,-,-,%B
BIS121,INTRO TO DRAWING,BIS,2022,SPR,no_restriction,no_add_code,11669,A,5,-,-,to_be_arranged,-,-,"Carpenter, Gary",Closed,25,24,-,-,O
BIS132,INTRO PHOTOGRAPHY,BIS,2022,SPR,no_restriction,no_add_code,11670,A,5,-,Th,115-315,UW2,005,"Hiebert, Ted",Open,89,90,-,-,B
BIS133,INTRO ACTING,BIS,2022,SPR,no_restriction,no_add_code,11671,A,2,-,MW,915-1045,UW2,021,"Doyle, Gavin",Open,23,24,-,-,-
BIS133,INTRO ACTING,BIS,2022,SPR,no_restriction,no_add_code,11672,B,2,-,TTh,115-245,UW2,021,"Doyle, Gavin",Open,21,24,-,-,-
BIS134,INTRO DANCE,BIS,2022,SPR,no_restriction,no_add_code,11673,A,2,-,TTh,400-530,UW2,021,"Garcia-Snyder, Diana",Closed,24,24,-,-,-
BIS134,INTRO DANCE,BIS,2022,SPR,no_restriction,no_add_code,11674,B,2,-,TTh,-,545-715P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '021', in original. Note: couldn't interpret 'Garcia-Snyder,Diana', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '16', in original. Note: couldn't interpret '24', in original."
BIS170,INTRO TO PSYCH,BIS,2022,SPR,no_restriction,no_add_code,11675,A,5,-,TTh,845-1045,UW1,210,"McGuire, Mary V.",Open,26,48,-,-,-
BIS170,INTRO TO PSYCH,BIS,2022,SPR,no_restriction,no_add_code,11676,B,5,-,TTh,115-315,UW1,202,"McGuire, Mary V.",Open,41,48,-,-,-
