Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BIS111,DIGITAL THINKING,BIS,2024,SPR,Restr,no_add_code,-,A,5,-,MW,1100-100,UW1,060,"Kim, Jeffrey",Open,9,24,-,-,J
BIS121,INTRO TO DRAWING,BIS,2024,SPR,no_restriction,no_add_code,11619,A,5,-,-,to_be_arranged,-,-,"Carpenter, Gary",Open,27,30,-,-,A
BIS121,INTRO TO DRAWING,BIS,2024,SPR,no_restriction,no_add_code,11620,B,5,-,MW,115-315,UWBB,272,-,-,-,-,-,-," Note: couldn't interpret '272', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '21', in original. Note: couldn't interpret '24', in original."
BIS132,INTRO TO PHOTOGRAPHY,BIS,2024,SPR,no_restriction,no_add_code,11621,A,5,-,T,845-1045,UW2,005,"Hiebert, Ted",Closed,90,90,-,-,B
BIS133,INTRO ACTING,BIS,2024,SPR,no_restriction,no_add_code,11622,A,2,-,MW,1200-130,UW2,021,"Doyle, Gavin",Open,22,24,-,-,-
BIS140,NUMBRS IN NEWS MEDIA,BIS,2024,SPR,no_restriction,no_add_code,11623,A,5,-,M,115-315,INV,111,"Trujillo, Caleb",Open,53,60,-,-,%B
BIS161,INTRO FILM NARRATIV ,BIS,2024,SPR,no_restriction,no_add_code,11624,A,5,-,TTh,1100-100,UW1,041,"Yum, Samuel M.",Open,46,48,-,-,-
BIS163,ART HIST & OBJECTS,BIS,2024,SPR,no_restriction,no_add_code,11625,A,5,-,W,115-315,INV,111,"Desmet, Raissa",Closed,60,60,-,-,%B
BIS170,INTRO TO PSYCH,BIS,2024,SPR,no_restriction,no_add_code,11626,A,5,-,TTh,330-530,UW1,220,"Yi, Jaki",Open,47,48,-,-,-
BIS175,AMERICAN GOVT,BIS,2024,SPR,no_restriction,no_add_code,11627,A,5,-,TTh,115-315,UW2,240,"Lambacher, Jason Frederick",Open,43,48,-,-,-
BIS179,INTRO TO JOURNALISM ,BIS,2024,SPR,no_restriction,no_add_code,11628,A,5,-,-,to_be_arranged,-,-,"Gustafson, Kristin",Open,63,70,-,-,A
BIS180,INTRO HUMAN GEOG,BIS,2024,SPR,no_restriction,no_add_code,11629,A,5,-,-,to_be_arranged,-,-,"Anderson, Christian",Closed,90,90,-,-,%A
BIS200,INTRO MICROECON,BIS,2024,SPR,no_restriction,no_add_code,11630,A,5,-,MW,115-315,UW1,110,"Francetich, Alejandro",Closed,11,11,-,-,J
BIS200,INTRO MICROECON,BIS,2024,SPR,no_restriction,no_add_code,11631,B,5,-,MW,830-1045,UW1,051,"Francetich, Alejandro",Closed,19,22,-,-,J
BIS201,INTRO MACROECON,BIS,2024,SPR,no_restriction,no_add_code,11632,A,5,-,MW,115-315,UW1,040,"Nedita, Codrin",Open,10,11,-,-,J
BIS201,INTRO MACROECON,BIS,2024,SPR,no_restriction,no_add_code,11633,B,5,-,MW,1100-100,UW1,040,"Nedita, Codrin",Closed,11,11,-,-,J
BIS203,ECONOMICS OF GENDER ,BIS,2024,SPR,no_restriction,no_add_code,11634,A,5,-,T,115-315,INV,111,"Charusheela, S",Open,54,60,-,-,%B
BIS215,UNDERSTANDING STATS ,BIS,2024,SPR,no_restriction,no_add_code,11635,A,5,-,TTh,115-315,UW1,121,"Jorgenson, Andrew D",Open,25,32,-,-,-
BIS215,UNDERSTANDING STATS ,BIS,2024,SPR,no_restriction,no_add_code,11636,B,5,-,-,to_be_arranged,-,-,"Carlisle, Shauna",Open,52,60,-,-,A
BIS220,DEVELOPMENTAL PSYCH ,BIS,2024,SPR,no_restriction,no_add_code,11637,A,5,-,TTh,115-315,UW1,020,"Tyler, Professor Kelsey",Open,47,48,-,-,-
