Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BIS111,DIGITAL THINKING,BIS,2020,SPR,no_restriction,no_add_code,11508,A,5,-,TTh,845-1045,UWBB,230,"Kim, Jeffrey",Open,12,14,-,-,J
BIS115,DIGITAL CULTURES,BIS,2020,SPR,no_restriction,no_add_code,11509,A,5,-,-,to_be_arranged,*,*,"Cram, Shannon C",Closed,46,40,-,-,%
BIS121,INTRO TO DRAWING,BIS,2020,SPR,no_restriction,no_add_code,11510,A,5,-,-,to_be_arranged,*,*,"Carpenter, Gary",Closed,24,24,-,$15,-
BIS121,INTRO TO DRAWING,BIS,2020,SPR,no_restriction,no_add_code,11511,B,5,-,TTh,115-315,UWBB,272,"Noah, Barbara",Open,23,24,-,-,-
BIS121,INTRO TO DRAWING,BIS,2020,SPR,no_restriction,no_add_code,21786,C,5,-,-,to_be_arranged,*,*,"Carpenter, Gary",Open,23,24,-,-,-
BIS132,INTRO PHOTOGRAPHY,BIS,2020,SPR,no_restriction,no_add_code,11512,A,5,-,MW,115-315,UW2,121,"Hsu, Howard",Closed,24,24,-,-,-
BIS132,INTRO PHOTOGRAPHY,BIS,2020,SPR,no_restriction,no_add_code,11513,B,5,-,F,330-500,UW2,105,"Carpenter, Phillip",Closed,24,24,-,-,-
BIS133,INTRO ACTING,BIS,2020,SPR,no_restriction,no_add_code,11514,A,2,-,TTh,900-1030,UW2,021,"Doyle, Gavin T",Open,23,24,-,-,-
BIS133,INTRO ACTING,BIS,2020,SPR,no_restriction,no_add_code,11515,B,2,-,TTh,330-500,UW2,021,"Doyle, Gavin T",Open,21,24,-,-,-
BIS134,INTRO DANCE,BIS,2020,SPR,no_restriction,no_add_code,11516,A,2,-,MW,330-500,UW2,021,"Garcia-Snyder, Diana",Open,19,24,-,-,-
BIS134,INTRO DANCE,BIS,2020,SPR,no_restriction,no_add_code,11517,B,2,-,MW,-,545-715P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '021', in original. Note: couldn't interpret 'Garcia-Snyder,Diana', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '18', in original. Note: couldn't interpret '24', in original."
BIS161,INTRO FILM NARRATIV ,BIS,2020,SPR,no_restriction,no_add_code,11518,A,5,-,TTh,845-1045,UW1,050,"Yum, Samuel M.",Open,43,45,-,-,-
BIS170,INTRO TO PSYCH,BIS,2020,SPR,no_restriction,no_add_code,11519,A,5,-,MW,845-1045,UW1,021,"McGuire, Mary V.",Open,37,40,-,-,-
BIS170,INTRO TO PSYCH,BIS,2020,SPR,no_restriction,no_add_code,11520,B,5,-,MW,115-315,UW1,021,"McGuire, Mary V.",Open,39,40,-,-,-
BIS175,AMERICAN GOVT,BIS,2020,SPR,no_restriction,no_add_code,11521,A,5,-,TTh,-,545-745P,*,-,-,-,-,-,-,"* Note: couldn't interpret 'Streichler,Stuart', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '44', in original. Note: couldn't interpret '45', in original."
BIS178,INTRO TO COMM,BIS,2020,SPR,no_restriction,no_add_code,21232,A,5,-,MW,115-315,UW1,210,"Porter, Ian",Open,43,45,-,-,-
BIS200,INTRO MICROECON,BIS,2020,SPR,no_restriction,no_add_code,21051,A,5,-,MW,845-1045,UW2,031,"Francetich, Alejandro",Closed,22,22,-,-,J
BIS200,INTRO MICROECON,BIS,2020,SPR,no_restriction,no_add_code,21053,B,5,-,MW,115-315,UW2,131,"Francetich, Alejandro",Closed,22,22,-,-,J
BIS201,INTRO MACROECON,BIS,2020,SPR,no_restriction,no_add_code,21055,A,5,-,MW,845-1045,UW1,050,"Nedita, Codrin",Open,17,22,-,-,J
