Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BIS111,DIGITAL THINKING,BIS,2020,AUT,no_restriction,no_add_code,11841,A,5,-,MW,845-1045,*,*,"Kim, Jeffrey",Open,21,22,-,-,J
BIS121,INTRO TO DRAWING,BIS,2020,AUT,no_restriction,no_add_code,11842,A,5,-,-,to_be_arranged,*,*,"Carpenter, Gary",Closed,24,24,-,-,-
BIS121,INTRO TO DRAWING,BIS,2020,AUT,no_restriction,no_add_code,11843,B,5,-,-,to_be_arranged,*,*,"Carpenter, Gary",Open,23,24,-,-,-
BIS121,INTRO TO DRAWING,BIS,2020,AUT,no_restriction,no_add_code,11844,C,5,-,Th,845-1045,*,*,"Noah, Barbara",Open,23,24,-,-,-
BIS131,INTRO ART PRACT,BIS,2020,AUT,no_restriction,no_add_code,11845,A,5,-,Th,845-1045,*,*,"Bodle, Carrie",Open,22,24,CR_NC,-,-
BIS132,INTRO PHOTOGRAPHY,BIS,2020,AUT,no_restriction,no_add_code,11846,A,5,-,W,115-315,*,*,"Hsu, Howard",Closed,24,24,-,-,-
BIS132,INTRO PHOTOGRAPHY,BIS,2020,AUT,no_restriction,no_add_code,11847,B,5,-,F,115-530,*,*,"Carpenter, Phillip",Closed,26,24,-,-,-
BIS133,INTRO ACTING,BIS,2020,AUT,no_restriction,no_add_code,11849,A,2,-,MW,915-1045,*,*,"Doyle, Gavin T",Open,20,24,-,-,-
BIS134,INTRO DANCE,BIS,2020,AUT,no_restriction,no_add_code,11850,A,2,-,TTh,400-530,*,*,"Garcia-Snyder, Diana",Open,23,24,-,-,-
BIS134,INTRO DANCE,BIS,2020,AUT,no_restriction,no_add_code,11851,B,2,-,TTh,-,545-715P,*,-,-,-,-,-,-,"* Note: couldn't interpret 'Garcia-Snyder,Diana', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '21', in original. Note: couldn't interpret '24', in original."
BIS161,INTRO FILM NARRATIV ,BIS,2020,AUT,no_restriction,no_add_code,11853,A,5,-,Th,845-1045,*,*,"Yum, Samuel M.",Open,43,45,-,-,-
BIS170,INTRO TO PSYCH,BIS,2020,AUT,no_restriction,no_add_code,11854,A,5,-,TTh,845-1045,*,*,"McGuire, Mary V.",Closed,45,45,-,-,-
BIS170,INTRO TO PSYCH,BIS,2020,AUT,no_restriction,no_add_code,11855,B,5,-,TTh,115-315,*,*,"McGuire, Mary V.",Open,43,45,-,-,-
BIS175,AMERICAN GOVT,BIS,2020,AUT,no_restriction,no_add_code,11856,A,5,-,TTh,115-315,*,*,"Streichler, Stuart",Open,43,45,-,-,-
BIS181,INTRO TO SOCIOLOGY,BIS,2020,AUT,no_restriction,no_add_code,11857,A,5,-,MW,330-530,*,*,"Lerum, Kari A",Open,98,99,-,-,-
BIS200,INTRO MICROECON,BIS,2020,AUT,no_restriction,no_add_code,11858,A,5,-,MW,330-530,*,*,"Francetich, Alejandro",Open,7,22,-,-,J
BIS200,INTRO MICROECON,BIS,2020,AUT,no_restriction,no_add_code,11859,B,5,-,MW,-,545-745P,*,-,-,-,-,-,-,"* Note: couldn't interpret 'Stephany,Aurora', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '10', in original. Note: couldn't interpret '22', in original. Note: couldn't interpret 'J', in original."
BIS200,INTRO MICROECON,BIS,2020,AUT,no_restriction,no_add_code,11860,C,5,-,TTh,845-1045,*,*,"Nedita, Codrin",Open,8,22,-,-,J
BIS201,INTRO MACROECON,BIS,2020,AUT,no_restriction,no_add_code,11861,A,5,-,TTh,115-315,*,*,"Shao, Chujian",Open,5,22,-,-,J
