Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BIS300,INTERDISC INQUIRY,BIS,2018,SPR,Restr,-,-,E,5,-,TTh,1100-100,DISC,165B,"Goldstein, David S.",Closed,30,30,-,-,W
BIS310,"WOMEN, CULTURE, DEV ",BIS,2018,SPR,no_restriction,no_add_code,11572,A,5,-,MW,330-530,UW1,110,"Shayne, Julie",Open,43,45,-,-,-
BIS312,APPRS SOCIAL RESRCH ,BIS,2018,SPR,no_restriction,no_add_code,11574,B,5,-,TTh,330-530,UW1,121,"Hartmann, William E",Open,31,32,-,-,-
BIS312,APPRS SOCIAL RESRCH ,BIS,2018,SPR,no_restriction,no_add_code,11575,C,5,-,F,1100-100,UW1,121,"Dana, Karam",Closed,32,32,-,-,B
BIS313,ISSUES MEDIA STDY,BIS,2018,SPR,no_restriction,no_add_code,11576,A,5,-,-,"to_be_arranged_ROBERTS,GEORGIA",M.,-,-,Closed,33,30,-,-,D
BIS313,ISSUES MEDIA STDY,BIS,2018,SPR,no_restriction,no_add_code,11577,B,5,-,TTh,1100-100,UW2,141,"Krabill, Ronald Stanley",Closed,45,45,-,-,-
BIS313,ISSUES MEDIA STDY,BIS,2018,SPR,no_restriction,no_add_code,11578,C,5,-,MW,330-530,UW2,005,"Tang, Min",Closed,46,45,-,-,-
BIS313,ISSUES MEDIA STDY,BIS,2018,SPR,no_restriction,no_add_code,11579,D,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '102', in original. Note: couldn't interpret 'Gregory,Wanda', in original. Note: couldn't interpret 'V', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '44', in original. Note: couldn't interpret '45', in original."
BIS315,UNDERSTANDING STATS ,BIS,2018,SPR,no_restriction,no_add_code,11580,A,5,-,TTh,115-315,UW2,105,"Anderson, Baaska",Closed,32,32,-,-,-
BIS320,COMP POL ECONOMIES,BIS,2018,SPR,no_restriction,no_add_code,11582,A,5,-,MW,1100-100,UW2,131,"Jacoby, Daniel F",Open,44,45,-,-,-
BIS328,DVSTY LDRSHP ENGMNT ,BIS,2018,SPR,no_restriction,no_add_code,11583,A,5,-,TTh,1100-100,HSKY,1310,"Kurashige, Scott T.",Open,10,12,-,-,SJ
BIS336,US MASS INCARCRTIN,BIS,2018,SPR,no_restriction,no_add_code,21575,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '131', in original. Note: couldn't interpret 'Berger,Daniel', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '38', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '%', in original."
BIS339,GLOBAL CLTR STDY,BIS,2018,SPR,no_restriction,no_add_code,11584,A,5,-,W,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '221', in original. Note: couldn't interpret 'KURIAN,ALKA', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '42', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret 'B', in original."
BIS340,APPRS CULTURAL RES,BIS,2018,SPR,no_restriction,no_add_code,11585,A,5,-,TTh,845-1045,UW1,202,"Anderson, Christian",Closed,32,32,-,-,-
BIS341,STUDY OF CULTURE,BIS,2018,SPR,no_restriction,no_add_code,11586,A,5,-,MW,1100-100,UW1,261,"Sugano, Masahiro",Open,29,30,-,-,-
BIS341,STUDY OF CULTURE,BIS,2018,SPR,no_restriction,no_add_code,11587,B,5,-,W,330-530,UW1,102,"Harewood, Susan Juanita",Open,36,45,-,-,B
BIS342,GEOG INF SYS,BIS,2018,SPR,-,-,21717,A,5,-,MW,845-1045,DISC,258,"Jung, Jin-Kyu",Open,23,24,-,-,-
BIS351,TOPS AMERICAN CLTR,BIS,2018,SPR,no_restriction,no_add_code,11588,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '202', in original. Note: couldn't interpret 'ROBERTS,GEORGIA', in original. Note: couldn't interpret 'M.', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '44', in original. Note: couldn't interpret '45', in original."
BIS352,MAPPING COMMUNITIES ,BIS,2018,SPR,-,-,11589,A,5,-,F,845-100,DISC,258,"Jung, Jin-Kyu",Open,23,24,-,-,-
BIS355,HIST OF SCI & TECHN ,BIS,2018,SPR,no_restriction,no_add_code,11590,A,5,-,MW,1100-100,UW2,031,"Romero, Adam M",Open,44,45,-,-,-
BIS363,POLTCS&POPULR MUSIC ,BIS,2018,SPR,no_restriction,no_add_code,11591,A,5,-,-,"to_be_arranged_HAREWOOD,SUSAN",JUANITA,-,-,Open,28,30,-,-,D
BIS372,REP COLONIAL TROPICS,BIS,2018,SPR,no_restriction,no_add_code,11592,A,5,-,MW,115-315,UW2,240,"Trumbull, Raissa Desmet",Open,43,45,-,-,-
BIS379,AM ETHNIC LIT,BIS,2018,SPR,no_restriction,no_add_code,11593,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '220', in original. Note: couldn't interpret 'Murr,Jonathan', in original. Note: couldn't interpret 'E', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '43', in original. Note: couldn't interpret '45', in original."
BIS380,BIOETHICS,BIS,2018,SPR,no_restriction,no_add_code,11594,A,5,-,MW,845-1045,UW2,031,"Harkewicz, Laura J",Open,32,45,-,-,-
BIS387,WOMEN & AMER LIT,BIS,2018,SPR,no_restriction,no_add_code,11595,A,5,-,MW,115-315,UWBB,240,"Pedersen, Alice L",Open,40,45,-,-,-
BIS388,LIT IN TRANSLATION,BIS,2018,SPR,no_restriction,no_add_code,11596,A,5,-,Th,1100-100,UW1,020,"Ferreira, Silvia C",Open,42,45,-,-,B
BIS390,ECOLOGY & ENVIRON,BIS,2018,SPR,no_restriction,no_add_code,11597,A,5,-,TTh,1100-100,UW2,240,"Stokes, David L.",Open,25,28,-,$32,-
BIS392,WATER & SUSTAINABLTY,BIS,2018,SPR,no_restriction,no_add_code,11598,A,5,-,MW,1100-100,UW1,110,"Turner, Robert Joseph",Closed,45,45,-,-,-
BIS397,TOPICS ENVIR STDYS,BIS,2018,SPR,no_restriction,no_add_code,11599,A,5,-,F,1000-200,UW1,261,"Lambert, Amy M",Open,17,30,-,-,-
BIS398,DIR STUDY/RESEARCH,BIS,2018,SPR,IS,add_code_required,11600,A,1-5,-,-,to_be_arranged,-,25,-,-,10,-,-,-,-
BIS406,URBAN PLAN & GEOG,BIS,2018,SPR,Restr,no_add_code,-,A,5,-,MW,115-315,UW1,102,"Tyman, Shannon",Open,29,40,-,-,-
BIS414,TOPS HUMAN RIGHTS,BIS,2018,SPR,Restr,no_add_code,-,A,5,-,MW,845-1045,UW2,211,"Griffin, Maryam S",Open,27,30,-,-,-
BIS415,PUBLIC POLICY & LAW ,BIS,2018,SPR,Restr,no_add_code,-,A,5,-,TTh,330-530,UW1,102,"Streichler, Stuart Alan",Open,39,40,-,-,-
BIS420,COLONIZING AFRICA,BIS,2018,SPR,Restr,no_add_code,-,A,5,-,MW,1100-100,UW1,202,"Gardner, Benjamin",Open,39,40,-,-,-
BIS421,TECHNOLOGY POLICY,BIS,2018,SPR,Restr,no_add_code,-,A,5,-,W,115-315,UW2,305,"Kochanski, Mark",Open,8,11,-,$10,BJ
BIS422,CLINICAL PSYCHOLOGY ,BIS,2018,SPR,Restr,-,-,A,5,-,MW,1100-100,DISC,162,"Stewart, John Eric",Open,30,40,-,-,-
BIS442,ADV GIS ANLYS &APP,BIS,2018,SPR,Restr,-,-,A,5,-,TTh,1100-100,DISC,258,"Lopez, Santiago",Open,11,24,-,-,-
BIS464,TOPS ADV CINEMA STD ,BIS,2018,SPR,Restr,no_add_code,-,A,5,-,TTh,330-530,UWBB,205,"Goldstein, David S.",Open,33,40,-,-,-
BIS466,H RGTS & RESISTANCE ,BIS,2018,SPR,Restr,no_add_code,-,A,5,-,W,115-315,UW1,221,"Kurian, Alka",Open,39,40,-,-,B
BIS468,HUMN RGT &SUSTN DEV ,BIS,2018,SPR,Restr,no_add_code,-,A,5,-,TTh,330-530,UW2,240,"Kochis, Bruce E.",Open,24,45,-,-,-
BIS470,"ART,POL,&SOC CHANG",BIS,2018,SPR,Restr,no_add_code,-,A,5,-,TTh,845-1045,UW1,060,"Tagle, Thea Q",Open,14,30,-,-,-
BIS471,WOMEN IN ART,BIS,2018,SPR,Restr,no_add_code,-,A,5,-,MW,330-530,UW1,210,"Caplow, Deborah",Open,12,40,-,-,-
BIS480,INT'L STUDY ABROAD,BIS,2018,SPR,-,add_code_required,11614,A,2,-,-,to_be_arranged,-,-,"Kurian, Alka",-,15,15,-,$1700,-
BIS488,TOPICS BRITISH LIT,BIS,2018,SPR,Restr,no_add_code,-,A,5,-,MW,1100-100,UW2,221,"Pedersen, Alice L",Open,24,30,-,-,-
BIS490,ADVANCED SEMINAR,BIS,2018,SPR,Restr,no_add_code,-,A,5,-,MW,845-1045,UW2,307,"Rivera, Rebeca F",Open,4,18,-,-,W
BIS490,ADVANCED SEMINAR,BIS,2018,SPR,Restr,no_add_code,-,B,5,-,MW,1100-100,HSKY,1310,"Roberts, Georgia M.",Open,17,18,-,-,W
BIS490,ADVANCED SEMINAR,BIS,2018,SPR,Restr,no_add_code,-,C,5,-,MW,330-530,UW1,060,"Romero, Adam M",Open,17,18,-,-,W
